MK22FN1M0AVLH12,,,,
,,,,
Pin,Unit,Type,Name,Side
1,1,bidirectional,PTE0,left
2,1,bidirectional,PTE1/LLWU_P0,left
23,1,bidirectional,PTA1,left
27,1,bidirectional,PTA5,left
28,1,bidirectional,PTA12,left
29,1,bidirectional,PTA13/LLWU_P4,left
35,1,bidirectional,PTB0/LLWU_P5,left
36,1,bidirectional,PTB1,left
37,1,bidirectional,PTB2,left
38,1,bidirectional,PTB3,left
39,1,bidirectional,PTB16,left
40,1,bidirectional,PTB17,left
41,1,bidirectional,PTB18,left
42,1,bidirectional,PTB19,left
43,1,bidirectional,PTC0,left
44,1,bidirectional,PTC1/LLWU_P6,left
45,1,bidirectional,PTC2,left
46,1,bidirectional,PTC3/LLWU_P7/CLKOUT,left
49,1,bidirectional,PTC4/LLWU_P8,right
50,1,bidirectional,PTC5/LLWU_P9,right
51,1,bidirectional,PTC6/LLWU_P10,right
52,1,bidirectional,PTC7,right
53,1,bidirectional,PTC8,right
54,1,bidirectional,PTC9,right
55,1,bidirectional,PTC10,right
56,1,bidirectional,PTC11/LLWU_P11,right
57,1,bidirectional,PTD0/LLWU_P12,right
58,1,bidirectional,PTD1,right
59,1,bidirectional,PTD2/LLWU_P13,right
60,1,bidirectional,PTD3,right
61,1,bidirectional,PTD4/LLWU_P14,right
62,1,bidirectional,PTD5,right
63,1,bidirectional,PTD6/LLWU_P15,right
64,1,bidirectional,PTD7,right
3,2,power_in,VDD,left
4,2,power_in,VSS,left
5,2,bidirectional,USB0_DP,left
6,2,bidirectional,USB0_DM,left
7,2,power_out,VOUT33,left
8,2,power_in,VREGIN,left
9,2,input,ADC0_DP0/ADC1_DP3,left
10,2,input,ADC0_DM0/ADC1_DM3,left
11,2,input,ADC1_DP0/ADC0_DP3,left
12,2,input,ADC1_DM0/ADC0_DM3,left
13,2,power_in,VDDA,left
14,2,input,VREFH,left
15,2,input,VREFL,left
16,2,power_in,VSSA,left
17,2,bidirectional,VREF_OUT,left
18,2,bidirectional,DAC0_OUT,left
19,2,input,XTAL32,right
20,2,input,EXTAL32,right
21,2,power_in,VBAT,right
22,2,bidirectional,PTA0/SWD_CLK,right
24,2,bidirectional,PTA2/TRACE_SWO,right
25,2,bidirectional,PTA3/SWD_DIO,right
26,2,bidirectional,PTA4/LLWU_P3/~NMI,right
30,2,power_in,VDD,right
31,2,power_in,VSS,right
32,2,bidirectional,PTA18/EXTAL0,right
33,2,bidirectional,PTA19/XTAL0,right
34,2,input,~RESET,right
47,2,power_in,VSS,right
48,2,power_in,VDD,right
